#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze-inactive"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze"" data-cloze=""&lt;u&gt;moles&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> of a gas will <span class=""cloze-inactive"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze"" data-cloze=""&lt;u&gt;volume&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span>."	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze-inactive"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze-inactive"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze"" data-ordinal=""2""><u>volume</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Putting more gas molecules (↑moles) in a container will make it expand (↑volume) due to a higher number of collisions against the wall.</div><div><br></div><div><img src=""22f9304ddf40288ceb19715f05dd80d0.png""><br></div><div><br></div><img src=""6e0e5e6ac8b8bef83895bc2a34d5d702.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze-inactive"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze-inactive"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;increase&lt;&#x2F;i&gt;"" data-ordinal=""3"">[increase/decrease]</span> its <span class=""cloze-inactive"" data-ordinal=""2""><u>volume</u></span>."	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze-inactive"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze-inactive"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze-inactive"" data-ordinal=""2""><u>volume</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Putting more gas molecules (↑moles) in a container will make it expand (↑volume) due to a higher number of collisions against the wall.</div><div><br></div><div><img src=""22f9304ddf40288ceb19715f05dd80d0.png""><br></div><div><br></div><img src=""6e0e5e6ac8b8bef83895bc2a34d5d702.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;increasing&lt;&#x2F;i&gt;"" data-ordinal=""4"">[increasing/decreasing]</span><i>&nbsp;</i>the <span class=""cloze-inactive"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze-inactive"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze-inactive"" data-ordinal=""2""><u>volume</u></span>."	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Avogadro's law</b></span>'s says that <span class=""cloze"" data-ordinal=""4""><i style="""">increasing</i></span><i>&nbsp;</i>the <span class=""cloze-inactive"" data-ordinal=""2""><u>moles</u></span> of a gas will <span class=""cloze-inactive"" data-ordinal=""3""><i style="""">increase</i></span> its <span class=""cloze-inactive"" data-ordinal=""2""><u>volume</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Putting more gas molecules (↑moles) in a container will make it expand (↑volume) due to a higher number of collisions against the wall.</div><div><br></div><div><img src=""22f9304ddf40288ceb19715f05dd80d0.png""><br></div><div><br></div><img src=""6e0e5e6ac8b8bef83895bc2a34d5d702.png""></div>"
"<b>Gas concentration</b> <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">increases</i></span> when the container's&nbsp;<span class=""cloze-inactive"" data-ordinal=""1""><u>volume</u></span> <span class=""cloze"" data-cloze=""&lt;i&#x20;style&#x3D;&quot;&quot;&gt;decreases&lt;&#x2F;i&gt;"" data-ordinal=""3"">[increases/decreases]</span>."	"<b>Gas concentration</b> <span class=""cloze-inactive"" data-ordinal=""2""><i style="""">increases</i></span> when the container's&nbsp;<span class=""cloze-inactive"" data-ordinal=""1""><u>volume</u></span> <span class=""cloze"" data-ordinal=""3""><i style="""">decreases</i></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><img src=""1nNzdXHAScun2p8mCDfu_2054720ee0709ddc0f1c43e18fcf9974.jpg""><br></div><div><br></div><div><img src=""75b8af2e59259269d66c51fcfbfdb28a.png""><br></div></div>"
"The <i>7</i>&nbsp;<span class=""cloze"" data-cloze=""&lt;b&gt;diatomic&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span><b>&nbsp;</b>elements:<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">H<sub>2</sub></span><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">N<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">O<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">F<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Cl<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Br<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">I<sub>2</sub></span></div>"	"The <i>7</i>&nbsp;<span class=""cloze"" data-ordinal=""2""><b>diatomic</b></span><b>&nbsp;</b>elements:<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">H<sub>2</sub></span><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">N<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">O<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">F<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Cl<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Br<sub>2</sub></span></div><div><span class=""cloze-inactive"" data-ordinal=""1"">I<sub>2</sub></span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- Beginning with <b>NOF</b>, these form the <b>number 7</b> on the periodic table (excluding H).</div><div><br></div><img src=""rjiSbp7euqxFHpIOWM1Tz1nGDYyMMbG4mdn33MrU_nf_OKkXcVMuS1i9MeSnM3-DKSgpqQGvSsHV6H6u.jpg""></div>"
"Equation for <b>density </b>(conversions):<br><br><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;equation&#x2D;142D887CFA4696A2B0C&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span><br></div>"	"Equation for <b>density </b>(conversions):<br><br><div><span class=""cloze"" data-ordinal=""1""><img src=""equation-142D887CFA4696A2B0C.png""></span><br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"Equation for <b>molarity&nbsp;(M)</b>:<br><br><div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;paste&#x2D;9418819b7978694eeda2f4682b28e9ddf6659c12&#x2E;jpg&quot;&gt;"" data-ordinal=""1"">[...]</span></div>"	"Equation for <b>molarity&nbsp;(M)</b>:<br><br><div><span class=""cloze"" data-ordinal=""1""><img src=""paste-9418819b7978694eeda2f4682b28e9ddf6659c12.jpg""></span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""Molarity-equations.png""></div>"
"Objects that <i>sink </i>in water have <span class=""cloze"" data-cloze=""&lt;i&gt;larger&lt;&#x2F;i&gt;"" data-ordinal=""1"">[smaller/larger]</span> <b>densities </b>than that of water."	"Objects that <i>sink </i>in water have <span class=""cloze"" data-ordinal=""1""><i>larger</i></span> <b>densities </b>than that of water.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b>Buoyant&nbsp;</b>force pushing up is smaller than gravity pulling it down.<br></div><div><br></div><img src=""equation-142D887CFA4696A2B0C.png""></div>"
"Objects that <i>float&nbsp;</i>in water have <span class=""cloze"" data-cloze=""&lt;i&gt;smaller&lt;&#x2F;i&gt;"" data-ordinal=""1"">[smaller/larger]</span> <b>densities </b>than that of water."	"Objects that <i>float&nbsp;</i>in water have <span class=""cloze"" data-ordinal=""1""><i>smaller</i></span> <b>densities </b>than that of water.
<hr>

<div style=""font-style:italic;color:gray;"">

<div><b>Buoyant </b>force pushing up is greater than gravity pulling it down.</div><div><br></div><img src=""equation-142D887CFA4696A2B0C.png""></div>"
"Equation for a compound's <b>molecular weight (MW)</b>:<div><br></div><div><span class=""cloze"" data-cloze=""MW&#x20;&#x3D;&#x20;g&#x2F;mol"" data-ordinal=""1"">[...]</span></div>"	"Equation for a compound's <b>molecular weight (MW)</b>:<div><br></div><div><span class=""cloze"" data-ordinal=""1"">MW = g/mol</span></div>
<hr>

<div style=""font-style:italic;color:gray;"">

Use this to convert between grams and moles.<div><br></div><div><img src=""maxresdefault-f305077b70bdea0bf567729cf63ce4cdacdd6775.jpg""><br></div></div>"
"At <b>STP</b>, 1 <span class=""cloze-inactive"" data-ordinal=""2""><i>mole</i></span> of any ideal&nbsp;<u>gas</u><i> </i>has a volume of <span class=""cloze"" data-cloze=""22&#x2E;4"" data-ordinal=""1"">[#]</span> <span class=""cloze"" data-cloze=""liters&#x20;&#x28;L&#x29;"" data-ordinal=""1"">[unit]</span>."	"At <b>STP</b>, 1 <span class=""cloze-inactive"" data-ordinal=""2""><i>mole</i></span> of any ideal&nbsp;<u>gas</u><i> </i>has a volume of <span class=""cloze"" data-ordinal=""1"">22.4</span> <span class=""cloze"" data-ordinal=""1"">liters (L)</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Use this to convert between <b>moles </b>→ <b>volume </b>when dealing with a gas at STP.</div><div><br></div><div><img src=""At+STP,+1+mol+of+any+ideal+gas+occupies+22.4+L.jpg""><br></div></div>"
"At <b>STP</b>, 1 <span class=""cloze"" data-cloze=""&lt;i&gt;mole&lt;&#x2F;i&gt;"" data-ordinal=""2"">[unit]</span> of any ideal&nbsp;<u>gas</u><i> </i>has a volume of <span class=""cloze-inactive"" data-ordinal=""1"">22.4</span> <span class=""cloze-inactive"" data-ordinal=""1"">liters (L)</span>."	"At <b>STP</b>, 1 <span class=""cloze"" data-ordinal=""2""><i>mole</i></span> of any ideal&nbsp;<u>gas</u><i> </i>has a volume of <span class=""cloze-inactive"" data-ordinal=""1"">22.4</span> <span class=""cloze-inactive"" data-ordinal=""1"">liters (L)</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Use this to convert between <b>moles </b>→ <b>volume </b>when dealing with a gas at STP.</div><div><br></div><div><img src=""At+STP,+1+mol+of+any+ideal+gas+occupies+22.4+L.jpg""><br></div></div>"
"<div>Equation for the <b>mass percentage </b>(percent composition)&nbsp;of <span class=""cloze-inactive"" data-ordinal=""2"">one single <i>element</i></span> in a compound:</div><div><br></div><span class=""cloze"" data-cloze=""&lt;img&#x20;src&#x3D;&quot;81225a8ea610f86d840834a2b62f605c&#x2E;png&quot;&gt;"" data-ordinal=""1"">[...]</span><br>"	"<div>Equation for the <b>mass percentage </b>(percent composition)&nbsp;of <span class=""cloze-inactive"" data-ordinal=""2"">one single <i>element</i></span> in a compound:</div><div><br></div><span class=""cloze"" data-ordinal=""1""><img src=""81225a8ea610f86d840834a2b62f605c.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

(mass of element's atoms) / (mass of the entire compound)</div>"
"<div>Equation for the <b>mass percentage </b>(percent composition)&nbsp;of <span class=""cloze"" data-cloze=""one&#x20;single&#x20;&lt;i&gt;element&lt;&#x2F;i&gt;"" data-ordinal=""2"">[...]</span> in a compound:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""81225a8ea610f86d840834a2b62f605c.png""></span><br>"	"<div>Equation for the <b>mass percentage </b>(percent composition)&nbsp;of <span class=""cloze"" data-ordinal=""2"">one single <i>element</i></span> in a compound:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""1""><img src=""81225a8ea610f86d840834a2b62f605c.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

(mass of element's atoms) / (mass of the entire compound)</div>"
"A compound's <span class=""cloze"" data-cloze=""&lt;b&gt;empirical&lt;&#x2F;b&gt;"" data-ordinal=""1"">[molecular/empirical]</span> <b>formula </b>is the <span class=""cloze-inactive"" data-ordinal=""2""><i>most simplified</i>&nbsp;ratio</span> between its elements."	"A compound's <span class=""cloze"" data-ordinal=""1""><b>empirical</b></span> <b>formula </b>is the <span class=""cloze-inactive"" data-ordinal=""2""><i>most simplified</i>&nbsp;ratio</span> between its elements.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>""Most simplified"" meaning it cannot be simplified any further (like C<sub>3</sub>H<sub>8</sub>).</div><div><br></div><img src=""empirical-formula-lab-n.jpg""></div>"
"A compound's <span class=""cloze-inactive"" data-ordinal=""1""><b>empirical</b></span> <b>formula </b>is the <span class=""cloze"" data-cloze=""&lt;i&gt;most&#x20;simplified&lt;&#x2F;i&gt;&amp;nbsp&#x3B;ratio"" data-ordinal=""2"">[...]</span> between its elements."	"A compound's <span class=""cloze-inactive"" data-ordinal=""1""><b>empirical</b></span> <b>formula </b>is the <span class=""cloze"" data-ordinal=""2""><i>most simplified</i>&nbsp;ratio</span> between its elements.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>""Most simplified"" meaning it cannot be simplified any further (like C<sub>3</sub>H<sub>8</sub>).</div><div><br></div><img src=""empirical-formula-lab-n.jpg""></div>"
"A compound's <span class=""cloze"" data-cloze=""&lt;b&gt;molecular&lt;&#x2F;b&gt;"" data-ordinal=""1"">[molecular/empirical]</span> <b>formula </b>is the <span class=""cloze-inactive"" data-ordinal=""2"">actual&nbsp;<i>number</i></span>&nbsp;of atoms in a compound."	"A compound's <span class=""cloze"" data-ordinal=""1""><b>molecular</b></span> <b>formula </b>is the <span class=""cloze-inactive"" data-ordinal=""2"">actual&nbsp;<i>number</i></span>&nbsp;of atoms in a compound.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>""Regular formula""</div><div><br></div><img src=""empirical-formula-lab-n.jpg""></div>"
"A compound's <span class=""cloze-inactive"" data-ordinal=""1""><b>molecular</b></span> <b>formula </b>is the <span class=""cloze"" data-cloze=""actual&amp;nbsp&#x3B;&lt;i&gt;number&lt;&#x2F;i&gt;"" data-ordinal=""2"">[...]</span>&nbsp;of atoms in a compound."	"A compound's <span class=""cloze-inactive"" data-ordinal=""1""><b>molecular</b></span> <b>formula </b>is the <span class=""cloze"" data-ordinal=""2"">actual&nbsp;<i>number</i></span>&nbsp;of atoms in a compound.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>""Regular formula""</div><div><br></div><img src=""empirical-formula-lab-n.jpg""></div>"
"<div>Equation to find the <span class=""cloze"" data-cloze=""&lt;b&gt;empirical&#x20;formula&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> when given <span class=""cloze"" data-cloze=""&lt;u&gt;percent&#x20;composition&lt;&#x2F;u&gt;"" data-ordinal=""1"">[...]</span> of each element:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""8ff9a1b58ba40cc6376c3e84fac8f054.png""></span><br>"	"<div>Equation to find the <span class=""cloze"" data-ordinal=""1""><b>empirical formula</b></span> when given <span class=""cloze"" data-ordinal=""1""><u>percent composition</u></span> of each element:</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""2""><img src=""8ff9a1b58ba40cc6376c3e84fac8f054.png""></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- These <u>aren't</u> being multiplied. This only shows how dividing <b>(%)</b> / <b>(molar mass)</b> gives its subscript for the empirical formula.</div><div><br></div><img src=""empirical-formula-lab-n.jpg""></div>"
"<div>To find the <b>empirical formula</b> ratios of elements, divide the element's<i>&nbsp;</i><span class=""cloze"" data-cloze=""&lt;i&gt;given&amp;nbsp&#x3B;&lt;&#x2F;i&gt;percent&#x20;composition"" data-ordinal=""1"">[...]</span> by the element's <span class=""cloze"" data-cloze=""molar&#x20;mass"" data-ordinal=""1"">[...]</span>.</div>"	"<div>To find the <b>empirical formula</b> ratios of elements, divide the element's<i>&nbsp;</i><span class=""cloze"" data-ordinal=""1""><i>given&nbsp;</i>percent composition</span> by the element's <span class=""cloze"" data-ordinal=""1"">molar mass</span>.</div>
<hr>

<div style=""font-style:italic;color:gray;"">

<div>- These <u>aren't</u> being multiplied. This only shows how dividing <b>(%)</b> / <b>(molar mass)</b> gives its subscript for the empirical formula.</div><div>- Seen below.</div><div><br></div><div><img src=""8ff9a1b58ba40cc6376c3e84fac8f054.png"">&nbsp;<br></div><div><br></div><img src=""empirical-formula-lab-n.jpg""></div>"
"Written next to the element's symbol,&nbsp;the <span class=""cloze"" data-cloze=""mass&#x20;number&#x20;&#x28;A&#x29;"" data-ordinal=""1"">[...]</span> is written on <span class=""cloze-inactive"" data-ordinal=""2""><i>top</i></span><i>&nbsp;</i>&amp; the <span class=""cloze"" data-cloze=""atomic&#x20;number&#x20;&#x28;Z&#x29;"" data-ordinal=""1"">[...]</span> is written on the <span class=""cloze-inactive"" data-ordinal=""2""><i>bottom</i></span> in the&nbsp;<b>standard atomic notation</b>."	"Written next to the element's symbol,&nbsp;the <span class=""cloze"" data-ordinal=""1"">mass number (A)</span> is written on <span class=""cloze-inactive"" data-ordinal=""2""><i>top</i></span><i>&nbsp;</i>&amp; the <span class=""cloze"" data-ordinal=""1"">atomic number (Z)</span> is written on the <span class=""cloze-inactive"" data-ordinal=""2""><i>bottom</i></span> in the&nbsp;<b>standard atomic notation</b>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""aee4hsXGId0u73ln8Z7Ad6X482frZ1MTuMpdPxYJTZpEkP-7gUJHriNUzWhf5Pzb9Vqhmi-12ATZlrCNVcbNKU0JZOwrZNMqthlWqWJWuXNCEbMzbr5FBv""></div>"
"Written next to the element's symbol,&nbsp;the <span class=""cloze-inactive"" data-ordinal=""1"">mass number (A)</span> is written on <span class=""cloze"" data-cloze=""&lt;i&gt;top&lt;&#x2F;i&gt;"" data-ordinal=""2"">[top/bottom]</span><i>&nbsp;</i>&amp; the <span class=""cloze-inactive"" data-ordinal=""1"">atomic number (Z)</span> is written on the <span class=""cloze"" data-cloze=""&lt;i&gt;bottom&lt;&#x2F;i&gt;"" data-ordinal=""2"">[top/bottom]</span> in the&nbsp;<b>standard atomic notation</b>."	"Written next to the element's symbol,&nbsp;the <span class=""cloze-inactive"" data-ordinal=""1"">mass number (A)</span> is written on <span class=""cloze"" data-ordinal=""2""><i>top</i></span><i>&nbsp;</i>&amp; the <span class=""cloze-inactive"" data-ordinal=""1"">atomic number (Z)</span> is written on the <span class=""cloze"" data-ordinal=""2""><i>bottom</i></span> in the&nbsp;<b>standard atomic notation</b>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""aee4hsXGId0u73ln8Z7Ad6X482frZ1MTuMpdPxYJTZpEkP-7gUJHriNUzWhf5Pzb9Vqhmi-12ATZlrCNVcbNKU0JZOwrZNMqthlWqWJWuXNCEbMzbr5FBv""></div>"
